sample_id,sample_date,no3_n,k,mg,ca,nh4_n,calc_rolling_k,calc_rolling_no3_n,calc_rolling_mg,calc_rolling_ca,calc_rolling_nh4_n
MPR,1989-05-16,69,0.77,1.92,6.15,NA,0.6859999999999999,74.4,1.936,6.354,NA
MPR,1989-05-23,69,0.72,2.41,7.17,NA,0.6816666666666666,73.83333333333333,1.9433333333333334,6.568333333333333,NA
MPR,1989-05-30,79,0.7,1.6,5.19,NA,0.6842857142857143,73.83333333333333,2.138571428571429,6.748571428571428,NA
MPR,1989-06-06,85,0.59,1.69,6.6,NA,0.67625,64.71428571428571,1.9737500000000001,6.30125,NA
MPR,1989-06-13,70,0.65,2.06,6.66,NA,0.6855555555555556,59.625,1.96,6.483333333333333,NA
MPR,1989-06-20,71,0.66,1.98,7.64,NA,0.675,58.285714285714285,1.965,6.525,NA
MPR,1989-06-27,NA,0.7,3.31,7.83,NA,0.67125,49.857142857142854,1.85125,6.4975000000000005,NA
MPR,1989-07-05,10,0.62,0.82,3.17,NA,0.675,51.42857142857143,1.85875,6.73375,NA
MPR,1989-07-11,24,0.76,1.85,7.94,NA,0.68875,65.42857142857143,1.8787500000000001,6.83375,NA
MPR,1989-07-26,10,0.69,1.5,6.95,NA,0.69375,67.42857142857143,1.75375,6.6,NA
MPR,1989-08-01,90,0.73,1.66,7.08,NA,0.67625,62.625,1.5314285714285714,6.15875,NA
MPR,1989-08-08,183,0.7,1.85,7.4,NA,0.6842857142857143,70.14285714285714,1.65,6.585714285714285,NA
MPR,1989-08-15,41,0.74,1.87,7.43,NA,0.6614285714285714,73.71428571428571,1.5783333333333334,6.252857142857143,NA
MPR,1989-08-22,114,0.61,1.17,5,NA,0.6614285714285714,73.71428571428571,1.5783333333333334,6.252857142857143,NA
MPR,1989-08-29,29,0.56,NA,4.3,NA,0.6566666666666666,84.33333333333333,1.594,6.136666666666667,NA
MPR,1989-09-12,49,0.6,1.42,5.61,NA,0.755,64,1.898,5.74,NA
MPR,1989-10-03,80,1.01,2.84,4.16,NA,0.9475,111.75,2.17,6.475,NA
MPR,1989-10-10,71,1.01,2.19,7.94,NA,1.078,212.2,2.094,6.5600000000000005,NA
MPR,1989-10-24,247,1.17,2.23,8.19,NA,1.21,263.5,2.194,6.906,NA
MPR,1989-11-07,614,1.6,1.79,6.9,NA,1.1316666666666666,240.14285714285714,2.1933333333333334,8.528333333333334,NA
MPR,1989-11-14,357,1.26,1.92,7.34,NA,1.0366666666666666,230.85714285714283,2.4316666666666666,7.891666666666667,NA
MPR,1989-11-21,212,NA,NA,NA,NA,0.9328571428571428,230.85714285714283,2.4316666666666666,7.891666666666667,NA
MPR,1989-11-28,170,0.91,2.45,10.08,NA,0.8814285714285715,221.14285714285717,2.5083333333333333,8.496666666666666,NA
MPR,1989-12-05,10,0.84,2.58,10.72,NA,0.98875,221.14285714285717,2.407142857142857,8.175714285714285,NA
MPR,1989-12-12,6,0.44,3.62,4.12,NA,0.915,149.57142857142856,2.5114285714285716,8.735714285714286,NA
MPR,1989-12-19,NA,0.31,NA,NA,NA,0.8825000000000001,112.71428571428571,2.572857142857143,9.21857142857143,NA
MPR,1989-12-26,179,0.81,2.69,11.82,NA,0.9,85.85714285714286,2.5187500000000003,9.15375,NA
MPR,1990-01-02,NA,1.74,1.8,6.25,NA,0.9077777777777778,109.42857142857142,2.47625,9.0525,NA
MPR,1990-01-09,113,1.01,2.52,10.82,NA,0.93,138.71428571428572,2.445,9.08125,NA
MPR,1990-01-16,99,1,2.35,10.72,NA,1.0122222222222221,181.85714285714286,2.28625,9.74,NA
MPR,1990-01-23,24,1.04,2.14,8.7,NA,1.1088888888888888,163.125,2.276666666666667,9.663333333333334,NA
MPR,1990-01-30,335,0.98,2.11,9.27,NA,1.1322222222222222,172,2.22,9.39375,NA
MPR,1990-02-06,215,1.04,2.33,10.95,NA,1.0566666666666666,170.66666666666666,2.2911111111111113,9.86125,NA
MPR,1990-02-13,308,1.18,2.35,9.39,NA,1.0744444444444445,195.11111111111111,2.1222222222222222,8.98875,NA
MPR,1990-02-20,32,1.18,2.2,9.05,NA,1.0688888888888888,209.22222222222223,2.106666666666667,8.71,NA
MPR,1990-02-27,250,1.02,2.18,NA,NA,1.0855555555555556,243.88888888888889,2.048888888888889,8.305,NA
MPR,1990-03-06,160,1.06,2.44,9.99,NA,1.08,220.33333333333334,2.0533333333333332,8.18625,NA
MPR,1990-03-13,333,1.17,1,3.84,NA,1.0755555555555556,210.22222222222223,2.0633333333333335,8.12375,NA
MPR,1990-03-20,226,0.95,2.21,8.49,NA,1.0544444444444445,190.44444444444446,2.042222222222222,8.08375,NA
MPR,1990-03-27,336,1.19,1.62,5.46,NA,1.0333333333333332,188,2.0655555555555556,8.2625,NA
MPR,1990-04-03,123,0.93,2.15,8.32,NA,1.0322222222222222,180.55555555555554,2.0611111111111113,8.338888888888889,NA
MPR,1990-04-10,124,1,2.42,10.45,NA,1.0266666666666666,164.66666666666669,2.0611111111111113,8.394444444444444,NA
MPR,1990-04-17,130,0.99,2.16,9.07,NA,1.0022222222222221,155.44444444444446,2.138888888888889,8.891111111111112,NA
MPR,1990-04-24,10,0.99,2.41,10.48,NA,1.0077777777777777,143.33333333333334,2.152222222222222,9.083333333333334,NA
MPR,1990-05-01,183,1.01,2.14,8.95,NA,0.9944444444444445,130.11111111111111,2.207777777777778,9.503333333333334,NA
MPR,1990-05-08,17,1.01,2.44,10.49,NA,1.0033333333333334,140,2.1944444444444446,9.551111111111112,NA
MPR,1990-05-15,250,0.95,1.7,8.31,NA,1.0033333333333334,149.88888888888889,2.16,9.3966666666666665,NA
MPR,1990-05-22,117,1,2.33,10.22,NA,0.9977777777777778,155.88888888888889,2.1555555555555554,9.324444444444445,NA
MPR,1990-05-29,217,1.07,2.12,9.24,NA,0.9844444444444445,181.11111111111111,2.0633333333333335,8.854444444444445,NA
MPR,1990-06-05,212,1.01,2.03,8.75,NA,0.9777777777777777,175.11111111111111,2.0944444444444446,8.975555555555555,NA
MPR,1990-06-12,213,1,2.11,9.06,NA,0.9666666666666667,190.22222222222223,2.0844444444444443,8.913333333333334,NA
MPR,1990-06-19,184,0.94,2.12,8.42,NA,0.9566666666666667,163.55555555555554,2.1355555555555554,8.998888888888889,NA
MPR,1990-06-26,237,0.87,1.58,6.25,NA,0.9544444444444444,187,2.002222222222222,8.342222222222222,NA
MPR,1990-07-03,129,0.95,2.42,10.04,NA,0.9299999999999999,175.66666666666666,2.0355555555555553,8.523333333333333,NA
MPR,1990-07-10,153,0.91,2.35,9.93,NA,0.9166666666666666,163.33333333333334,2.1166666666666667,8.823333333333332,NA
MPR,1990-07-17,10,0.86,2.16,9.08,NA,0.8977777777777778,177.33333333333334,2.01,8.57,NA
MPR,1990-07-24,328,0.98,1.13,4.31,NA,0.8877777777777778,171,2.0355555555555553,8.762222222222222,NA
MPR,1990-07-31,115,0.85,2.42,10.87,NA,0.8855555555555555,154.11111111111111,2.101111111111111,9.19111111111111,NA
MPR,1990-08-07,101,0.89,2.76,11.45,NA,0.8744444444444445,152.22222222222223,2.0677777777777777,9.076666666666666,NA
MPR,1990-08-14,339,0.83,1.15,6.78,NA,0.8688888888888888,142.66666666666666,2.0544444444444445,9.086666666666666,NA
MPR,1990-08-21,127,0.85,2.35,10.15,NA,0.8655555555555555,155.88888888888889,2.0122222222222224,9.01,NA
MPR,1990-08-28,85,0.85,2.17,10.11,NA,0.8522222222222222,131.88888888888889,2.1422222222222222,9.635555555555555,NA
MPR,1990-09-04,112,0.85,2.12,9.01,NA,0.8422222222222222,128.88888888888889,2.1055555555555556,9.421111111111111,NA
MPR,1990-09-11,67,0.86,2.23,10.02,NA,0.84,130.88888888888889,2.0155555555555553,9.071111111111112,NA
MPR,1990-09-18,129,0.83,1.78,8.39,NA,0.8344444444444444,108.55555555555556,2.128888888888889,9.212222222222222,NA
MPR,1990-09-25,112,0.86,2.3,9.94,NA,0.8266666666666667,113.33333333333333,2.0844444444444443,8.973333333333333,NA
MPR,1990-10-02,88,0.76,2.09,8.94,NA,0.8111111111111111,118.66666666666667,1.9944444444444445,8.337777777777777,NA
MPR,1990-10-09,119,0.87,1.95,8.3,NA,0.8011111111111111,107,1.96,8.11,NA
MPR,1990-10-16,138,0.78,2.17,8.05,NA,0.7911111111111111,112,1.9744444444444444,7.933333333333334,NA
MPR,1990-10-23,170,0.78,1.95,8,NA,0.7855555555555556,117.25,2.0355555555555553,8.05111111111111,NA
MPR,1990-10-30,133,0.71,1.36,4.39,NA,0.77,126.125,1.9877777777777779,7.89,NA
MPR,1990-11-06,7,0.76,1.81,6.96,NA,0.7633333333333333,142.125,1.7955555555555556,6.92,NA
MPR,1990-11-13,NA,0.77,2.36,8.43,NA,0.7355555555555555,138.375,1.83,7.078888888888889,NA
MPR,1990-11-20,171,0.78,2.33,9.45,NA,0.7111111111111111,141.75,1.8266666666666667,7.238888888888889,NA
MPR,1990-11-27,183,0.72,1.87,8.49,NA,0.7077777777777777,134.25,1.9833333333333334,7.511111111111111,NA
MPR,1990-12-04,216,0.7,0.36,0.21,NA,0.7266666666666667,137.375,1.9633333333333334,7.547777777777777,NA
MPR,1990-12-11,89,0.62,2.26,9.73,NA,0.7277777777777777,152.375,1.98,7.78,NA
MPR,1990-12-18,165,0.56,2.14,9.49,NA,0.7077777777777777,152.375,1.95,7.7877777777777775,NA
MPR,1990-12-25,110,0.75,3.36,10.45,NA,0.66,146.375,2.062222222222222,7.295555555555556,NA
MPR,1990-12-31,158,0.88,1.18,4.72,NA,0.6533333333333333,136.75,2.1144444444444446,6.934444444444445,NA
MPR,1991-01-08,127,0.77,1.96,9.05,NA,0.6488888888888888,139,2.25,7.6322222222222225,NA
MPR,1991-01-15,NA,0.59,2.09,8.5,NA,0.6622222222222223,135.75,2.2555555555555555,7.608888888888889,NA
MPR,1991-01-22,123,0.35,3.34,5.02,NA,0.6688888888888889,142.5,2.1688888888888886,7.18,NA
MPR,1991-01-29,106,0.66,2.34,5.24,NA,0.6577777777777778,132.75,2.0233333333333334,6.872222222222222,NA
MPR,1991-02-05,234,0.66,1.58,6.49,NA,0.6266666666666667,129.14285714285714,2.1244444444444444,7.308888888888889,NA
MPR,1991-02-12,63,0.74,2.31,9.52,NA,0.8411111111111111,127.28571428571429,2.148888888888889,7.403333333333333,NA
