sample_id,sample_date,no3_n,k,mg,ca,nh4_n,calc_rolling,avg
MPR,1989-05-16,69,0.77,1.92,6.15,NA,calc_rolling_no3_n,74.4
MPR,1989-05-16,69,0.77,1.92,6.15,NA,calc_rolling_k,0.6859999999999999
MPR,1989-05-16,69,0.77,1.92,6.15,NA,calc_rolling_mg,1.936
MPR,1989-05-16,69,0.77,1.92,6.15,NA,calc_rolling_ca,6.354
MPR,1989-05-16,69,0.77,1.92,6.15,NA,calc_rolling_nh4_n,NA
MPR,1989-05-23,69,0.72,2.41,7.17,NA,calc_rolling_no3_n,73.83333333333333
MPR,1989-05-23,69,0.72,2.41,7.17,NA,calc_rolling_k,0.6816666666666666
MPR,1989-05-23,69,0.72,2.41,7.17,NA,calc_rolling_mg,1.9433333333333334
MPR,1989-05-23,69,0.72,2.41,7.17,NA,calc_rolling_ca,6.568333333333333
MPR,1989-05-23,69,0.72,2.41,7.17,NA,calc_rolling_nh4_n,NA
MPR,1989-05-30,79,0.7,1.6,5.19,NA,calc_rolling_no3_n,73.83333333333333
MPR,1989-05-30,79,0.7,1.6,5.19,NA,calc_rolling_k,0.6842857142857143
MPR,1989-05-30,79,0.7,1.6,5.19,NA,calc_rolling_mg,2.138571428571429
MPR,1989-05-30,79,0.7,1.6,5.19,NA,calc_rolling_ca,6.748571428571428
MPR,1989-05-30,79,0.7,1.6,5.19,NA,calc_rolling_nh4_n,NA
MPR,1989-06-06,85,0.59,1.69,6.6,NA,calc_rolling_no3_n,64.71428571428571
MPR,1989-06-06,85,0.59,1.69,6.6,NA,calc_rolling_k,0.67625
MPR,1989-06-06,85,0.59,1.69,6.6,NA,calc_rolling_mg,1.9737500000000001
MPR,1989-06-06,85,0.59,1.69,6.6,NA,calc_rolling_ca,6.30125
MPR,1989-06-06,85,0.59,1.69,6.6,NA,calc_rolling_nh4_n,NA
MPR,1989-06-13,70,0.65,2.06,6.66,NA,calc_rolling_no3_n,59.625
MPR,1989-06-13,70,0.65,2.06,6.66,NA,calc_rolling_k,0.6855555555555556
MPR,1989-06-13,70,0.65,2.06,6.66,NA,calc_rolling_mg,1.96
MPR,1989-06-13,70,0.65,2.06,6.66,NA,calc_rolling_ca,6.483333333333333
MPR,1989-06-13,70,0.65,2.06,6.66,NA,calc_rolling_nh4_n,NA
MPR,1989-06-20,71,0.66,1.98,7.64,NA,calc_rolling_no3_n,58.285714285714285
MPR,1989-06-20,71,0.66,1.98,7.64,NA,calc_rolling_k,0.675
MPR,1989-06-20,71,0.66,1.98,7.64,NA,calc_rolling_mg,1.965
MPR,1989-06-20,71,0.66,1.98,7.64,NA,calc_rolling_ca,6.525
MPR,1989-06-20,71,0.66,1.98,7.64,NA,calc_rolling_nh4_n,NA
MPR,1989-06-27,NA,0.7,3.31,7.83,NA,calc_rolling_no3_n,49.857142857142854
MPR,1989-06-27,NA,0.7,3.31,7.83,NA,calc_rolling_k,0.67125
MPR,1989-06-27,NA,0.7,3.31,7.83,NA,calc_rolling_mg,1.85125
MPR,1989-06-27,NA,0.7,3.31,7.83,NA,calc_rolling_ca,6.4975000000000005
MPR,1989-06-27,NA,0.7,3.31,7.83,NA,calc_rolling_nh4_n,NA
MPR,1989-07-05,10,0.62,0.82,3.17,NA,calc_rolling_no3_n,51.42857142857143
MPR,1989-07-05,10,0.62,0.82,3.17,NA,calc_rolling_k,0.675
MPR,1989-07-05,10,0.62,0.82,3.17,NA,calc_rolling_mg,1.85875
MPR,1989-07-05,10,0.62,0.82,3.17,NA,calc_rolling_ca,6.73375
MPR,1989-07-05,10,0.62,0.82,3.17,NA,calc_rolling_nh4_n,NA
MPR,1989-07-11,24,0.76,1.85,7.94,NA,calc_rolling_no3_n,65.42857142857143
MPR,1989-07-11,24,0.76,1.85,7.94,NA,calc_rolling_k,0.68875
MPR,1989-07-11,24,0.76,1.85,7.94,NA,calc_rolling_mg,1.8787500000000001
MPR,1989-07-11,24,0.76,1.85,7.94,NA,calc_rolling_ca,6.83375
MPR,1989-07-11,24,0.76,1.85,7.94,NA,calc_rolling_nh4_n,NA
MPR,1989-07-26,10,0.69,1.5,6.95,NA,calc_rolling_no3_n,67.42857142857143
MPR,1989-07-26,10,0.69,1.5,6.95,NA,calc_rolling_k,0.69375
MPR,1989-07-26,10,0.69,1.5,6.95,NA,calc_rolling_mg,1.75375
MPR,1989-07-26,10,0.69,1.5,6.95,NA,calc_rolling_ca,6.6
MPR,1989-07-26,10,0.69,1.5,6.95,NA,calc_rolling_nh4_n,NA
MPR,1989-08-01,90,0.73,1.66,7.08,NA,calc_rolling_no3_n,62.625
MPR,1989-08-01,90,0.73,1.66,7.08,NA,calc_rolling_k,0.67625
MPR,1989-08-01,90,0.73,1.66,7.08,NA,calc_rolling_mg,1.5314285714285714
MPR,1989-08-01,90,0.73,1.66,7.08,NA,calc_rolling_ca,6.15875
MPR,1989-08-01,90,0.73,1.66,7.08,NA,calc_rolling_nh4_n,NA
MPR,1989-08-08,183,0.7,1.85,7.4,NA,calc_rolling_no3_n,70.14285714285714
MPR,1989-08-08,183,0.7,1.85,7.4,NA,calc_rolling_k,0.6842857142857143
MPR,1989-08-08,183,0.7,1.85,7.4,NA,calc_rolling_mg,1.65
MPR,1989-08-08,183,0.7,1.85,7.4,NA,calc_rolling_ca,6.585714285714285
MPR,1989-08-08,183,0.7,1.85,7.4,NA,calc_rolling_nh4_n,NA
MPR,1989-08-15,41,0.74,1.87,7.43,NA,calc_rolling_no3_n,73.71428571428571
MPR,1989-08-15,41,0.74,1.87,7.43,NA,calc_rolling_k,0.6614285714285714
MPR,1989-08-15,41,0.74,1.87,7.43,NA,calc_rolling_mg,1.5783333333333334
MPR,1989-08-15,41,0.74,1.87,7.43,NA,calc_rolling_ca,6.252857142857143
MPR,1989-08-15,41,0.74,1.87,7.43,NA,calc_rolling_nh4_n,NA
MPR,1989-08-22,114,0.61,1.17,5,NA,calc_rolling_no3_n,73.71428571428571
MPR,1989-08-22,114,0.61,1.17,5,NA,calc_rolling_k,0.6614285714285714
MPR,1989-08-22,114,0.61,1.17,5,NA,calc_rolling_mg,1.5783333333333334
MPR,1989-08-22,114,0.61,1.17,5,NA,calc_rolling_ca,6.252857142857143
MPR,1989-08-22,114,0.61,1.17,5,NA,calc_rolling_nh4_n,NA
MPR,1989-08-29,29,0.56,NA,4.3,NA,calc_rolling_no3_n,84.33333333333333
MPR,1989-08-29,29,0.56,NA,4.3,NA,calc_rolling_k,0.6566666666666666
MPR,1989-08-29,29,0.56,NA,4.3,NA,calc_rolling_mg,1.594
MPR,1989-08-29,29,0.56,NA,4.3,NA,calc_rolling_ca,6.136666666666667
MPR,1989-08-29,29,0.56,NA,4.3,NA,calc_rolling_nh4_n,NA
MPR,1989-09-12,49,0.6,1.42,5.61,NA,calc_rolling_no3_n,64
MPR,1989-09-12,49,0.6,1.42,5.61,NA,calc_rolling_k,0.755
MPR,1989-09-12,49,0.6,1.42,5.61,NA,calc_rolling_mg,1.898
MPR,1989-09-12,49,0.6,1.42,5.61,NA,calc_rolling_ca,5.74
MPR,1989-09-12,49,0.6,1.42,5.61,NA,calc_rolling_nh4_n,NA
MPR,1989-10-03,80,1.01,2.84,4.16,NA,calc_rolling_no3_n,111.75
MPR,1989-10-03,80,1.01,2.84,4.16,NA,calc_rolling_k,0.9475
MPR,1989-10-03,80,1.01,2.84,4.16,NA,calc_rolling_mg,2.17
MPR,1989-10-03,80,1.01,2.84,4.16,NA,calc_rolling_ca,6.475
MPR,1989-10-03,80,1.01,2.84,4.16,NA,calc_rolling_nh4_n,NA
MPR,1989-10-10,71,1.01,2.19,7.94,NA,calc_rolling_no3_n,212.2
MPR,1989-10-10,71,1.01,2.19,7.94,NA,calc_rolling_k,1.078
MPR,1989-10-10,71,1.01,2.19,7.94,NA,calc_rolling_mg,2.094
MPR,1989-10-10,71,1.01,2.19,7.94,NA,calc_rolling_ca,6.5600000000000005
MPR,1989-10-10,71,1.01,2.19,7.94,NA,calc_rolling_nh4_n,NA
MPR,1989-10-24,247,1.17,2.23,8.19,NA,calc_rolling_no3_n,263.5
MPR,1989-10-24,247,1.17,2.23,8.19,NA,calc_rolling_k,1.21
MPR,1989-10-24,247,1.17,2.23,8.19,NA,calc_rolling_mg,2.194
MPR,1989-10-24,247,1.17,2.23,8.19,NA,calc_rolling_ca,6.906
MPR,1989-10-24,247,1.17,2.23,8.19,NA,calc_rolling_nh4_n,NA
MPR,1989-11-07,614,1.6,1.79,6.9,NA,calc_rolling_no3_n,240.14285714285714
MPR,1989-11-07,614,1.6,1.79,6.9,NA,calc_rolling_k,1.1316666666666666
MPR,1989-11-07,614,1.6,1.79,6.9,NA,calc_rolling_mg,2.1933333333333334
MPR,1989-11-07,614,1.6,1.79,6.9,NA,calc_rolling_ca,8.528333333333334
MPR,1989-11-07,614,1.6,1.79,6.9,NA,calc_rolling_nh4_n,NA
MPR,1989-11-14,357,1.26,1.92,7.34,NA,calc_rolling_no3_n,230.85714285714283
MPR,1989-11-14,357,1.26,1.92,7.34,NA,calc_rolling_k,1.0366666666666666
MPR,1989-11-14,357,1.26,1.92,7.34,NA,calc_rolling_mg,2.4316666666666666
MPR,1989-11-14,357,1.26,1.92,7.34,NA,calc_rolling_ca,7.891666666666667
MPR,1989-11-14,357,1.26,1.92,7.34,NA,calc_rolling_nh4_n,NA
MPR,1989-11-21,212,NA,NA,NA,NA,calc_rolling_no3_n,230.85714285714283
MPR,1989-11-21,212,NA,NA,NA,NA,calc_rolling_k,0.9328571428571428
MPR,1989-11-21,212,NA,NA,NA,NA,calc_rolling_mg,2.4316666666666666
MPR,1989-11-21,212,NA,NA,NA,NA,calc_rolling_ca,7.891666666666667
MPR,1989-11-21,212,NA,NA,NA,NA,calc_rolling_nh4_n,NA
MPR,1989-11-28,170,0.91,2.45,10.08,NA,calc_rolling_no3_n,221.14285714285717
MPR,1989-11-28,170,0.91,2.45,10.08,NA,calc_rolling_k,0.8814285714285715
MPR,1989-11-28,170,0.91,2.45,10.08,NA,calc_rolling_mg,2.5083333333333333
MPR,1989-11-28,170,0.91,2.45,10.08,NA,calc_rolling_ca,8.496666666666666
MPR,1989-11-28,170,0.91,2.45,10.08,NA,calc_rolling_nh4_n,NA
MPR,1989-12-05,10,0.84,2.58,10.72,NA,calc_rolling_no3_n,221.14285714285717
MPR,1989-12-05,10,0.84,2.58,10.72,NA,calc_rolling_k,0.98875
MPR,1989-12-05,10,0.84,2.58,10.72,NA,calc_rolling_mg,2.407142857142857
MPR,1989-12-05,10,0.84,2.58,10.72,NA,calc_rolling_ca,8.175714285714285
MPR,1989-12-05,10,0.84,2.58,10.72,NA,calc_rolling_nh4_n,NA
MPR,1989-12-12,6,0.44,3.62,4.12,NA,calc_rolling_no3_n,149.57142857142856
MPR,1989-12-12,6,0.44,3.62,4.12,NA,calc_rolling_k,0.915
MPR,1989-12-12,6,0.44,3.62,4.12,NA,calc_rolling_mg,2.5114285714285716
MPR,1989-12-12,6,0.44,3.62,4.12,NA,calc_rolling_ca,8.735714285714286
MPR,1989-12-12,6,0.44,3.62,4.12,NA,calc_rolling_nh4_n,NA
MPR,1989-12-19,NA,0.31,NA,NA,NA,calc_rolling_no3_n,112.71428571428571
MPR,1989-12-19,NA,0.31,NA,NA,NA,calc_rolling_k,0.8825000000000001
MPR,1989-12-19,NA,0.31,NA,NA,NA,calc_rolling_mg,2.572857142857143
MPR,1989-12-19,NA,0.31,NA,NA,NA,calc_rolling_ca,9.21857142857143
MPR,1989-12-19,NA,0.31,NA,NA,NA,calc_rolling_nh4_n,NA
MPR,1989-12-26,179,0.81,2.69,11.82,NA,calc_rolling_no3_n,85.85714285714286
MPR,1989-12-26,179,0.81,2.69,11.82,NA,calc_rolling_k,0.9
MPR,1989-12-26,179,0.81,2.69,11.82,NA,calc_rolling_mg,2.5187500000000003
MPR,1989-12-26,179,0.81,2.69,11.82,NA,calc_rolling_ca,9.15375
MPR,1989-12-26,179,0.81,2.69,11.82,NA,calc_rolling_nh4_n,NA
MPR,1990-01-02,NA,1.74,1.8,6.25,NA,calc_rolling_no3_n,109.42857142857142
MPR,1990-01-02,NA,1.74,1.8,6.25,NA,calc_rolling_k,0.9077777777777778
MPR,1990-01-02,NA,1.74,1.8,6.25,NA,calc_rolling_mg,2.47625
MPR,1990-01-02,NA,1.74,1.8,6.25,NA,calc_rolling_ca,9.0525
MPR,1990-01-02,NA,1.74,1.8,6.25,NA,calc_rolling_nh4_n,NA
MPR,1990-01-09,113,1.01,2.52,10.82,NA,calc_rolling_no3_n,138.71428571428572
MPR,1990-01-09,113,1.01,2.52,10.82,NA,calc_rolling_k,0.93
MPR,1990-01-09,113,1.01,2.52,10.82,NA,calc_rolling_mg,2.445
MPR,1990-01-09,113,1.01,2.52,10.82,NA,calc_rolling_ca,9.08125
MPR,1990-01-09,113,1.01,2.52,10.82,NA,calc_rolling_nh4_n,NA
MPR,1990-01-16,99,1,2.35,10.72,NA,calc_rolling_no3_n,181.85714285714286
MPR,1990-01-16,99,1,2.35,10.72,NA,calc_rolling_k,1.0122222222222221
MPR,1990-01-16,99,1,2.35,10.72,NA,calc_rolling_mg,2.28625
MPR,1990-01-16,99,1,2.35,10.72,NA,calc_rolling_ca,9.74
MPR,1990-01-16,99,1,2.35,10.72,NA,calc_rolling_nh4_n,NA
MPR,1990-01-23,24,1.04,2.14,8.7,NA,calc_rolling_no3_n,163.125
MPR,1990-01-23,24,1.04,2.14,8.7,NA,calc_rolling_k,1.1088888888888888
MPR,1990-01-23,24,1.04,2.14,8.7,NA,calc_rolling_mg,2.276666666666667
MPR,1990-01-23,24,1.04,2.14,8.7,NA,calc_rolling_ca,9.663333333333334
MPR,1990-01-23,24,1.04,2.14,8.7,NA,calc_rolling_nh4_n,NA
MPR,1990-01-30,335,0.98,2.11,9.27,NA,calc_rolling_no3_n,172
MPR,1990-01-30,335,0.98,2.11,9.27,NA,calc_rolling_k,1.1322222222222222
MPR,1990-01-30,335,0.98,2.11,9.27,NA,calc_rolling_mg,2.22
MPR,1990-01-30,335,0.98,2.11,9.27,NA,calc_rolling_ca,9.39375
MPR,1990-01-30,335,0.98,2.11,9.27,NA,calc_rolling_nh4_n,NA
MPR,1990-02-06,215,1.04,2.33,10.95,NA,calc_rolling_no3_n,170.66666666666666
MPR,1990-02-06,215,1.04,2.33,10.95,NA,calc_rolling_k,1.0566666666666666
MPR,1990-02-06,215,1.04,2.33,10.95,NA,calc_rolling_mg,2.2911111111111113
MPR,1990-02-06,215,1.04,2.33,10.95,NA,calc_rolling_ca,9.86125
MPR,1990-02-06,215,1.04,2.33,10.95,NA,calc_rolling_nh4_n,NA
MPR,1990-02-13,308,1.18,2.35,9.39,NA,calc_rolling_no3_n,195.11111111111111
MPR,1990-02-13,308,1.18,2.35,9.39,NA,calc_rolling_k,1.0744444444444445
MPR,1990-02-13,308,1.18,2.35,9.39,NA,calc_rolling_mg,2.1222222222222222
MPR,1990-02-13,308,1.18,2.35,9.39,NA,calc_rolling_ca,8.98875
MPR,1990-02-13,308,1.18,2.35,9.39,NA,calc_rolling_nh4_n,NA
MPR,1990-02-20,32,1.18,2.2,9.05,NA,calc_rolling_no3_n,209.22222222222223
MPR,1990-02-20,32,1.18,2.2,9.05,NA,calc_rolling_k,1.0688888888888888
MPR,1990-02-20,32,1.18,2.2,9.05,NA,calc_rolling_mg,2.106666666666667
MPR,1990-02-20,32,1.18,2.2,9.05,NA,calc_rolling_ca,8.71
MPR,1990-02-20,32,1.18,2.2,9.05,NA,calc_rolling_nh4_n,NA
MPR,1990-02-27,250,1.02,2.18,NA,NA,calc_rolling_no3_n,243.88888888888889
MPR,1990-02-27,250,1.02,2.18,NA,NA,calc_rolling_k,1.0855555555555556
MPR,1990-02-27,250,1.02,2.18,NA,NA,calc_rolling_mg,2.048888888888889
MPR,1990-02-27,250,1.02,2.18,NA,NA,calc_rolling_ca,8.305
MPR,1990-02-27,250,1.02,2.18,NA,NA,calc_rolling_nh4_n,NA
MPR,1990-03-06,160,1.06,2.44,9.99,NA,calc_rolling_no3_n,220.33333333333334
MPR,1990-03-06,160,1.06,2.44,9.99,NA,calc_rolling_k,1.08
MPR,1990-03-06,160,1.06,2.44,9.99,NA,calc_rolling_mg,2.0533333333333332
MPR,1990-03-06,160,1.06,2.44,9.99,NA,calc_rolling_ca,8.18625
MPR,1990-03-06,160,1.06,2.44,9.99,NA,calc_rolling_nh4_n,NA
MPR,1990-03-13,333,1.17,1,3.84,NA,calc_rolling_no3_n,210.22222222222223
MPR,1990-03-13,333,1.17,1,3.84,NA,calc_rolling_k,1.0755555555555556
MPR,1990-03-13,333,1.17,1,3.84,NA,calc_rolling_mg,2.0633333333333335
